,User,Week,freq_week
214,user16077,2023-06,53
215,user16077,2023-07,65
216,user16077,2023-08,69
217,user16077,2023-09,151
218,user16088,2023-02,6
219,user16088,2023-03,16
220,user16088,2023-05,24
221,user16088,2023-06,3
222,user16088,2023-07,15
223,user16088,2023-08,14
224,user16088,2023-09,21
225,user16091,2023-02,44
226,user16091,2023-03,44
227,user16091,2023-05,54
228,user16091,2023-06,25
229,user16091,2023-07,46
230,user16091,2023-08,76
231,user16091,2023-09,170
232,user16091,2023-10,8
233,user16092,2023-02,2
234,user16092,2023-05,7
235,user16092,2023-07,5
236,user16092,2023-08,2
237,user16092,2023-09,13
238,user16093,2023-02,57
239,user16093,2023-03,1
240,user16093,2023-05,33
241,user16093,2023-06,10
242,user16093,2023-07,1
243,user16093,2023-08,27
244,user16093,2023-09,4
245,user16100,2023-02,26
246,user16100,2023-03,18
247,user16100,2023-05,15
248,user16100,2023-06,11
249,user16100,2023-07,21
250,user16100,2023-08,9
251,user16100,2023-09,39
252,user16101,2023-02,1
253,user16101,2023-03,54
254,user16101,2023-05,7
255,user16101,2023-06,1
256,user16101,2023-07,6
257,user16101,2023-09,13
258,user16105,2023-02,40
259,user16105,2023-03,16
260,user16105,2023-05,19
261,user16105,2023-06,12
262,user16105,2023-07,26
263,user16105,2023-08,32
264,user16105,2023-09,21
265,user16109,2023-05,41
266,user16109,2023-06,50
267,user16109,2023-07,39
268,user16109,2023-08,78
269,user16109,2023-09,33
270,user16109,2023-10,1
271,user16115,2023-02,2
272,user16115,2023-03,1
273,user16115,2023-05,6
274,user16115,2023-06,1
275,user16115,2023-07,5
276,user16115,2023-08,4
277,user16115,2023-09,9
278,user16119,2023-05,48
279,user16119,2023-06,6
280,user16119,2023-07,28
281,user16119,2023-08,12
282,user16119,2023-09,1
283,user16120,2023-02,7
284,user16120,2023-03,3
285,user16120,2023-05,24
286,user16120,2023-06,3
287,user16120,2023-07,64
288,user16120,2023-08,2
289,user16120,2023-09,24
290,user16122,2023-02,1
291,user16122,2023-03,7
292,user16122,2023-05,6
293,user16122,2023-06,3
294,user16122,2023-07,5
295,user16122,2023-08,26
296,user16122,2023-09,166
297,user16123,2023-02,1
298,user16123,2023-03,2
299,user16123,2023-05,25
300,user16123,2023-06,4
301,user16123,2023-07,19
302,user16123,2023-08,52
303,user16123,2023-09,37
304,user16123,2023-10,1
305,user16124,2023-05,28
306,user16124,2023-06,10
307,user16124,2023-07,13
308,user16124,2023-08,5
309,user16124,2023-09,33
310,user16130,2023-03,50
311,user16130,2023-05,37
